02/16/26 21:00:53 EST -0500 | time="2026-02-16T21:00:53-05:00" level=info msg="Handshake message sent" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3420124419 localIndex=3420124419 remoteIndex=0 udpAddrs="[100.77.99.123:4242 174.206.35.37:9154 10.10.1.2:4242]" vpnIp=10.10.200.7
02/16/26 21:00:53 EST -0500 | time="2026-02-16T21:00:53-05:00" level=error msg="Refusing to handshake with myself" certName=nebula_005 fingerprint=be498b658041432a26beb9a3c2dda5ba86d19382189f2ccfe5ba8ada9de1d333 handshake="map[stage:1 style:ix_psk0]" issuer=c767287dd919b573342625585e391ee4a3a1e443703d2c8738c8538945c804cd udpAddr="10.10.1.2:4242" vpnIp=10.10.200.5
02/16/26 21:00:53 EST -0500 | time="2026-02-16T21:00:53-05:00" level=error msg="Failed to send handshake message" error="sendto: address family not supported by protocol" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3420124419 localIndex=3420124419 remoteIndex=0 udpAddr="[2600:1003:b852:ea1a:215:ffff:fe03:33]:4242" vpnIp=10.10.200.7
02/16/26 21:00:53 EST -0500 | time="2026-02-16T21:00:53-05:00" level=error msg="Refusing to handshake with myself" certName=nebula_005 fingerprint=be498b658041432a26beb9a3c2dda5ba86d19382189f2ccfe5ba8ada9de1d333 handshake="map[stage:1 style:ix_psk0]" issuer=c767287dd919b573342625585e391ee4a3a1e443703d2c8738c8538945c804cd udpAddr="10.10.1.2:4242" vpnIp=10.10.200.5
02/16/26 21:00:53 EST -0500 | time="2026-02-16T21:00:53-05:00" level=error msg="Failed to send handshake message" error="sendto: address family not supported by protocol" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3420124419 localIndex=3420124419 remoteIndex=0 udpAddr="[2600:1003:b852:ea1a:215:ffff:fe03:33]:4242" vpnIp=10.10.200.7
02/16/26 21:00:53 EST -0500 | time="2026-02-16T21:00:53-05:00" level=error msg="Refusing to handshake with myself" certName=nebula_005 fingerprint=be498b658041432a26beb9a3c2dda5ba86d19382189f2ccfe5ba8ada9de1d333 handshake="map[stage:1 style:ix_psk0]" issuer=c767287dd919b573342625585e391ee4a3a1e443703d2c8738c8538945c804cd udpAddr="10.10.1.2:4242" vpnIp=10.10.200.5
02/16/26 21:00:54 EST -0500 | time="2026-02-16T21:00:53-05:00" level=error msg="Failed to send handshake message" error="sendto: address family not supported by protocol" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3420124419 localIndex=3420124419 remoteIndex=0 udpAddr="[2600:1003:b852:ea1a:215:ffff:fe03:33]:4242" vpnIp=10.10.200.7
02/16/26 21:00:54 EST -0500 | time="2026-02-16T21:00:53-05:00" level=error msg="Refusing to handshake with myself" certName=nebula_005 fingerprint=be498b658041432a26beb9a3c2dda5ba86d19382189f2ccfe5ba8ada9de1d333 handshake="map[stage:1 style:ix_psk0]" issuer=c767287dd919b573342625585e391ee4a3a1e443703d2c8738c8538945c804cd udpAddr="10.10.1.2:4242" vpnIp=10.10.200.5
02/16/26 21:00:54 EST -0500 | time="2026-02-16T21:00:54-05:00" level=error msg="Failed to send handshake message" error="sendto: address family not supported by protocol" handshake="map[stage:1 style:ix_psk0]" initiatorIndex=3420124419 localIndex=3420124419 remoteIndex=0 udpAddr="[2600:1003:b852:ea1a:215:ffff:fe03:33]:4242" vpnIp=10.10.200.7
02/16/26 21:00:54 EST -0500 | time="2026-02-16T21:00:54-05:00" level=error msg="Refusing to handshake with myself" certName=nebula_005 fingerprint=be498b658041432a26beb9a3c2dda5ba86d19382189f2ccfe5ba8ada9de1d333 handshake="map[stage:1 style:ix_psk0]" issuer=c767287dd919b573342625585e391ee4a3a1e443703d2c8738c8538945c804cd udpAddr="10.10.1.2:4242" vpnIp=10.10.200.5
